,customer_unique_id,R,F,M
515,01561f92006fd3ba8a8a4246b7f38101,32078382.0,1.5849625007211563,7.2063306478710505
558,0178b244a5c281fb2ade54038dd4b161,7013838.0,1.5849625007211563,8.027297836011728
585,01873d3c2fc620aa701e30d2c4181673,16421799.0,1.5849625007211563,5.8974824681961024
589,01886ef98f995e4f2dd75a1d04c97397,19174254.0,1.5849625007211563,6.25380022147642
598,018b5a7502c30eb5f230f1b4eb23a156,36544812.0,1.5849625007211563,6.796753476973697
634,01a22e2079ea71e17313b88e5811e54a,23133750.0,1.5849625007211563,7.377991326905882
637,01a379e7c61f254c6c1bfc842b4d9416,31122387.0,1.5849625007211563,5.113533819591914
681,01c289bb06354cdc7e6549570f20ada4,25474535.0,2.0,7.9277779620823425
687,01c92cf65b66be2fb861a163d4830f5a,20656875.0,1.5849625007211563,6.993674361750585
706,01d8df79b0fe245a03928d53fc25c223,37669742.0,1.5849625007211563,7.113117036390723
722,01e80828765c999c3f5a7713f3912309,44314448.0,1.5849625007211563,5.504302583163169
726,01ea7dfdac01a4e8fbe2902b73510b20,21599613.0,1.5849625007211563,8.117643101389092
740,01f2285f85a1c603eb7ef755ad311769,12019155.0,1.5849625007211563,8.858105360029239
742,01f382f4c95df31e05e27f1151a015a0,33746377.0,1.5849625007211563,7.09655704225857
782,02168ea18740a0fdaaa15f11bebba5db,32210659.0,1.5849625007211563,8.05006629830629
840,0241fa2e9adf0576cb0f845377d05c03,7329965.0,1.5849625007211563,7.644072577802161
848,024676cef113f6c81db6c5b8d29e5ee9,14612383.0,3.700439718141092,6.013015535839256
881,025cf7c2f32536f0be1ab412bb6602d2,5293860.0,1.5849625007211563,10.89148754068167
912,027803eb28cc01fbdf5da72b109fabee,31557720.0,1.5849625007211563,6.678494507773734
967,029b457bd01199c39136f89e0eddcd3a,24703709.0,1.5849625007211563,8.44522181739749
994,02b20b7c813efede140142ac610e36dc,18304779.0,1.5849625007211563,7.611541270848871
1049,02ce431b0797023384d47edad5dd7284,22715250.0,1.5849625007211563,7.044612692957976
1054,02d11346c78159884066cdd2a5e0e102,7359582.0,1.5849625007211563,6.09887428674445
1085,02e4c56fefa30628768ffe326d332e2f,24124983.0,1.5849625007211563,6.609252625880639
1088,02e6a8a86c74efabd650f01e0c460a1d,36610664.0,1.5849625007211563,5.814294058282832
1093,02e9109b7e0a985108b43e573b6afb23,13501523.0,2.0,9.237759681791475
1094,02e9827c15167f699df7bf90d326ffdb,16672071.0,1.5849625007211563,6.12639473762014
1120,02fbe4db886eb98774c8ba300d39fa79,20927216.0,1.5849625007211563,7.597158683183728
1135,0303ef40ef95a500ba038e141c9b935b,10194985.0,1.5849625007211563,5.965322548367255
1156,030fe1fc5f80eb7a45b48975efe9c55a,20475263.0,1.5849625007211563,7.005849075696688
