customer_unique_id,R,F,M
096e351116755fe4c3c1e48eaf301a41,44865651.0,2,217.49
0981a271500799427cdf345e9121e20b,47373907.0,2,162.28
09831ff6ab667f42521bcd4c22dc755c,17820229.0,2,317.83
0994750c9c22a140010ed86aad2d044b,20146014.0,2,175.41000000000003
099fad9e8f7dfbd0412c300bcc697e0b,13304259.0,2,430.79
09baec50afccbb414f24bf8e0bc7c020,13363919.0,2,714.8299999999999
09bc7afc3e8d8dccaffd0b16944a91fe,38211490.0,2,609.87
09cd73b13f103e47ce13675b4a4b36f3,13832960.0,2,225.24
09d74edf20acb4f9523fb1cf19a18456,19535745.0,2,312.49
09d7c538023c2c4fb0553c831c12f084,44314865.0,2,846.12
0a5df23b922b9998bb7378f1ac03c98a,33118920.0,2,193.82999999999998
0a5fab743da859b3f10a409bbb132a5a,21191087.0,2,260.74
0a609db8d244100909a15d65eadf8539,31455391.0,3,501.16
0a61b571f594b6919601bcf3380da7f7,24016398.0,3,518.02
0aa1ab39ff2b837c05d7c9ff85b6d983,19034079.0,2,211.2
0aadc1d26d1c8b88a52c39a533ccea93,27932589.0,2,1218.6999999999998
0abee71cd257861a0944e2a81cea4a50,28108788.0,2,423.86
0ac10a57d07e3d38b11f66283c44672b,43396605.0,2,209.66
0ac4a9460c1baf3051ffec5c9021a499,12130308.0,2,214.94
0ad1d79346c3b98b517348ecbbadfbc6,10204891.0,2,157.53
0ad7cb4f48f2a2cf5080e3c19c7cf98c,12530105.0,2,128.22
0af334fc660bfc9c75109752cc8271d7,47473150.0,2,468.39
0b18593e033697810a62a987e77f4b8c,18868985.0,3,190.96
0b3cf8a9362deaf8b870d49ae61f3ca1,36530508.0,2,226.35
0b3dc7efaafb0cf78a4796d42fa8d74c,38562949.0,2,620.06
0b402d6dd50694a118c642448e2cb086,28068560.0,2,230.84
0b51518c7deffd54b13b007c9f91c3f0,9168561.0,2,285.33000000000004
0b6d4f036c07e10854affe43fc4e718c,18063176.0,2,227.10999999999999
0bbb42a9ca8179ccfce14a11d2afe6de,9756502.0,2,53.129999999999995
0bc9c245cd69735af23eefdd89d74e7e,34475478.0,2,210.8
0bdb6ad22574bad5202df1e92a9aa403,21071148.0,2,168.99
0bf1278577a2acf8532a031d98cd517c,26547561.0,2,284.6
0c10e674d1504f959a7f2e504148c296,15130831.0,2,144.60000000000002
0c1201c04330536234aaa49b396745d4,6341585.0,2,425.44
0c32aa09e8eced3ea26c2a013b7b75e9,10786313.0,2,256.1
0c4c416f1f9844e6805b074f8f96f52c,37217534.0,2,174.48
0c8286526be3a0fc8f50b7267db95035,17429003.0,2,345.52
0c8ac932c65f67489929f9164a86606d,31377549.0,2,306.53999999999996
0c9abfaffa0ae7587cebfdf0d680e3b7,21836045.0,2,80.2
0cc2ee1112a11a1094eff52fa2e87150,32765762.0,3,839.62
0ceb502fc33a2ad327b08288c5310e2e,13416637.0,2,154.34
0cf46588cd3f5a23002166b5a1945820,31371908.0,2,273.0
0cfd915db480acd7d9a954409cabfb1c,36316975.0,2,118.15
0d153268371aa25450d4117ff070277e,9524375.0,2,801.25
0d4644eff058d75937ca1eec574bf87d,27716959.0,2,230.75
0d51e04ae0b1d341e4f49812d1f4fbe2,13332745.0,2,195.09
0d52f8cd8892f109a15803df169113b6,21445287.0,2,174.3
0d57344e9e4e9d16dc699cb417e50cb0,28499651.0,2,268.77
0d7241c7fb49c1be6e75c9fe99e0822c,14701808.0,2,253.23000000000002
0d997d092f93b5c58d0f9b4bd0643d16,27636127.0,2,132.24
0dc81b520ef7db9cb44bb075e129dcf8,10474493.0,2,504.95000000000005
0dd933d1e0253343083013791bf5d5e9,28272079.0,2,204.9
0ddba04798f1c085d0ca93af0e91f6c1,21171079.0,2,168.06
0df55f5accedda71bda8f4c7f590951f,21156085.0,2,501.44
0e06af8004ffd01a3461e768f9f659aa,28688966.0,2,495.53
0e37a80826485260170d428b06df0ab6,34570862.0,2,344.09
0e381ce773b382849206115413009851,6492939.0,2,206.63
0e3c753956e35026b965d9ac3590c5af,37600876.0,2,314.12
0e4cb268bd62da7db135af6349b4fc2a,28241477.0,3,195.46
0e4d012fac3d20c033e0284fb6d2ea6a,4905963.0,2,532.48
0e730550dfc5d7f1cea73484bb2e0249,19471995.0,2,199.42000000000002
0e78a1b66adee5bb3a6f014714f79cf4,16854945.0,2,477.44
0ea353565cdde00e1d8352a08290a352,36113814.0,2,292.76
0ecf7f65b5ff3b9e61b637e59f495e0a,63682817.0,2,180.82
0ee1969ea903c6be704958e2300068b2,36967576.0,2,76.96000000000001
0ee57f62666561b72f2ceacad0230cbf,10293238.0,2,386.40999999999997
0ef7b906320b21fe4d39f99496aaa2d8,6407024.0,2,210.22
0efd5025e6544ef110881866b945d0cc,5926347.0,2,86.99
0f0b49d45120fcb28bda56e94bc85673,21762679.0,2,812.72
0f0e48a91c9c285404572b095bcb373c,39244725.0,2,204.54000000000002
0f10d99ee99ca3d0489f2f2169b41ec3,19868240.0,2,207.09
0f187f58097c5431d5244e1fe1383884,24437796.0,2,151.27
0f1bd80ed58b9d0f45dca1bb396d8ac9,13416071.0,2,92.73
0f26a77f8de836d7c44b4694e0fa3ea4,10880688.0,2,95.61
0f38a44168ec569a3f783ebf98d79095,28438398.0,2,119.88
0f5ac8d5c31de21d2f25e24be15bbffb,28009963.0,2,1544.8200000000002
0f64cafdb3e1e4806c99ff165305e27f,17115530.0,2,195.16
0f9349a9da479b7e02c4cb4a0c73fb47,21416741.0,2,91.4
0fd39b61ec94864f92e18e5d7144bc6c,17728067.0,2,342.1
0fd475edfa0b61c59ecde6f89c21dedb,25421463.0,2,334.74
0ffc908947e1f0c9f17647058b9a58c2,40774985.0,2,477.68
100f480d33281b45b97c07395968e56c,33531992.0,2,175.28
1015173479527a15ccb63606a74f404e,35181689.0,2,371.85
10351fa9e690ca750568e3c19978d69e,11396688.0,2,253.07999999999998
1041688b50cfd8ef6df6086a1746a30c,4304046.0,2,64.46000000000001
10867a902e32dd54061b2cda9c55b0b6,20142684.0,2,253.72000000000003
10a4b9f45f67e6bc9ca4032b9203272c,20400039.0,2,135.07
10b442e762ba8a5ad22de5ba2207e5f1,10746407.0,2,129.24
10b58cbd6607267fd41812614367439e,24452153.0,2,323.96
10bf8afdd66da75c386fbacf04c85710,17967897.0,2,449.0
10d5890ed5e7ec78a7db23b5ac579b17,7413865.0,2,149.16
110991b379efbcebb0d35cbd20bf9698,16483112.0,2,109.93
1118a7bb7ba893f10740e22a23aa5bd9,23654424.0,2,88.42
1118bbd6c82a824ebc677b12e525864f,30647157.0,2,537.72
115030e27b9970683ad81cb05679157c,12787854.0,2,173.09
1175e95fb47ddff9de6b2b06188f7e0d,23518473.0,2,83.19
118be57d1b7de439453a0c6625ad7934,36626677.0,2,87.38
1197ba886110324a1519fff17dd8d1d2,36489562.0,2,118.1
11b47516f8f6a42105b9807903ede333,20658638.0,2,235.3
11e95918d6816403858e8314a3503f4c,9015326.0,2,259.32
121b5a0ae9d09a2ca5e8090fd2a00a58,46910193.0,2,146.26999999999998
1225c9614c5129a3085416d30d50e143,19353131.0,2,392.28
12328d63390726821fdcd8e8b77f10b5,27936256.0,2,166.39
124bc956b56b1523d2a75b29a856085d,17118199.0,2,253.08
124ef8d5acc80858c69d34e3e08b572d,7768266.0,2,432.74
125740359669fa63858476105a5d523d,38886680.0,2,584.56
1291474366a550ebc251d9187e763d62,40793345.0,2,156.85
12ab9334b1240d6d037f2b0102a49571,26610891.0,2,1297.47
12b62a8d3c4911b9a80b935037842fc0,29702346.0,2,210.62
12c54f6dfd4b723a6c76c4c989494422,33766203.0,2,322.49
12d8b5ed661190a3a08183644dfc504d,14535110.0,4,857.95
12f5d6e1cbf93dafd9dcc19095df0b3d,56167508.0,6,110.72
130f4a32887cc549621b3c6cf36bf77e,5277409.0,2,227.03
